Index,Animals,Gender,Homly,Types
1,Cat,Male,Yes,A
2,Dog,Male,Yes,B
3,Mouse,Male,Yes,C
4,Mouse,Male,Yes,C
5,Dog,Female,Yes,A
6,Cat,Female,Yes,B
7,Lion,Female,Yes,D
8,Goat,Female,Yes,E
9,Cat,Female,Yes,A
10,Dog,Male,Yes,B
11,Dog,Male,Yes,B
12,Lion,Male,No,D
13,Lion,Male,No,D
14,Lion,Male,No,D
15,Cat,Female,Yes,A
16,Lion,Female,No,D
17,Lion,Female,No,D
18,Cat,Female,Yes,A
19,Goat,Male,No,E
20,Goat,Female,No,E
21,Goat,Male,No,E
22,Goat,Female,No,E
23,Lion,Male,No,D
24,Lion,Female,No,D
25,Lion,Male,No,D
26,Lion,Female,No,D
27,Dog,Male,Yes,B
28,Lion,Female,No,D
29,Cat,Male,Yes,A
30,Lion,Female,No,D
